Brand,Battery_Capacity_kWh,Motor_Power_kW,Weight_kg,Max_Charge_Power_kW,Drag_Coefficient,Price_USD,Range_km,Charge_Time_mins
Chevrolet,87.9,385,2430,350,0.26,67497,466,19
Chevrolet,89.2,693,2613,350,0.31,79109,292,16
Mercedes-Benz,73.7,163,2141,350,0.27,49486,253,13
Polestar,61.2,359,2340,250,0.35,44714,263,16
Porsche,73.1,261,2240,150,0.34,44642,250,32
Hyundai,83.4,608,2424,250,0.28,72825,418,21
Chevrolet,75.2,707,2407,350,0.22,63114,413,15
Polestar,30.5,718,2194,150,0.27,62307,128,15
Volkswagen,46.2,222,2045,350,0.27,47818,211,12
Rivian,67.4,111,2161,50,0.2,38646,311,75
Hyundai,96.7,475,2577,250,0.22,69120,353,24
Porsche,40.9,522,2178,350,0.32,59882,189,10
Porsche,62.8,509,2154,100,0.26,61492,280,33
Tesla,74.4,109,2030,100,0.31,37176,387,44
Nissan,90.8,597,2541,100,0.31,72211,416,53
Hyundai,119.8,258,2568,100,0.22,64472,559,71
BMW,83.9,302,2342,250,0.31,63452,356,22
Volkswagen,98.1,217,2577,50,0.29,52575,421,107
Rivian,41.2,101,1886,350,0.33,47037,159,10
Mercedes-Benz,120.6,600,2602,250,0.24,75752,524,32
Nissan,45.0,375,2075,350,0.23,52100,235,10
Hyundai,94.2,494,2346,350,0.29,70612,413,18
Chevrolet,74.3,389,2211,50,0.3,62126,321,79
Nissan,38.6,681,2091,150,0.25,69236,144,22
BMW,53.4,451,2249,100,0.3,51581,197,30
Chevrolet,103.1,402,2535,250,0.34,64085,372,27
Porsche,112.2,100,2328,250,0.35,56386,329,26
Hyundai,39.3,267,1990,350,0.32,42280,190,11
Hyundai,64.6,255,2011,50,0.25,63134,238,72
Chevrolet,108.6,473,2405,250,0.34,74965,490,26
Kia,44.1,237,1942,50,0.25,58816,229,49
Tesla,122.3,416,2825,350,0.25,75013,502,23
Nissan,38.0,604,1767,250,0.25,58833,138,12
Mercedes-Benz,31.8,491,1868,350,0.32,53091,108,10
Porsche,108.3,272,2461,250,0.29,56751,383,25
Mercedes-Benz,92.4,442,2355,250,0.26,55860,372,26
Volkswagen,103.4,600,2897,100,0.22,79650,478,62
Audi,83.5,239,2285,150,0.24,50215,401,38
Nissan,116.5,258,2515,100,0.27,60153,377,68
Mercedes-Benz,43.3,166,1975,100,0.27,52746,216,26
Ford,68.6,392,2184,50,0.29,54931,289,77
Tesla,74.3,131,2269,150,0.2,52412,352,29
Volkswagen,108.4,330,2466,100,0.21,59396,561,62
Porsche,127.6,533,2766,50,0.28,77455,472,139
Hyundai,122.0,438,2721,250,0.22,60652,462,31
Rivian,91.3,712,2538,150,0.33,80380,312,37
Tesla,55.8,453,2199,350,0.31,62482,268,14
BMW,35.4,308,1854,250,0.21,51543,195,11
Chevrolet,45.1,322,2079,150,0.31,45838,233,20
Porsche,106.1,204,2425,50,0.31,57645,420,117
Ford,50.4,460,2113,150,0.23,58153,259,21
Rivian,114.0,641,2809,150,0.33,78412,471,38
Nissan,102.2,676,2561,150,0.22,70933,417,37
Volkswagen,78.1,517,2395,250,0.28,63346,326,22
BMW,62.2,513,2336,150,0.21,66500,311,27
Chevrolet,74.0,195,2117,100,0.26,45154,281,44
Kia,93.6,610,2499,150,0.3,82597,368,38
Kia,57.3,436,2208,100,0.33,51258,224,32
Hyundai,75.8,413,2032,100,0.21,58524,398,47
Kia,35.7,246,1881,250,0.3,40050,145,11
BMW,108.7,733,2653,100,0.33,93556,355,64
Hyundai,83.2,367,2422,100,0.31,58697,307,48
Rivian,71.9,269,2302,50,0.27,47462,291,77
Hyundai,90.9,327,2317,50,0.28,61427,348,100
Kia,52.6,650,2426,100,0.22,62848,253,35
Kia,59.1,611,2248,150,0.21,63824,244,26
Nissan,105.7,437,2513,350,0.3,71183,384,20
BMW,107.2,117,2409,250,0.28,57481,395,26
Ford,39.3,386,2057,150,0.23,59002,155,18
Hyundai,61.2,517,1972,250,0.22,75808,310,19
Volkswagen,48.4,681,2245,250,0.32,66017,215,15
Volkswagen,126.7,371,2592,100,0.26,71788,565,76
Hyundai,127.3,318,2709,50,0.32,56583,590,137
BMW,75.9,332,2402,250,0.28,57998,310,19
Chevrolet,44.2,326,1970,100,0.31,47981,247,29
Polestar,114.4,265,2515,250,0.3,60008,424,26
Rivian,81.3,298,2239,350,0.2,59497,409,18
Mercedes-Benz,119.9,522,2682,250,0.26,74591,409,27
Tesla,34.2,580,2204,100,0.34,63316,136,23
Mercedes-Benz,126.3,572,2885,250,0.3,70358,401,30
Polestar,37.4,247,1975,50,0.21,43985,229,43
Tesla,58.5,378,2242,350,0.28,60475,221,13
Audi,125.6,116,2612,250,0.34,53577,391,29
Kia,90.7,510,2644,250,0.3,64160,377,22
Polestar,104.4,429,2456,50,0.2,68853,472,113
Rivian,127.2,315,2534,150,0.27,71985,555,47
Tesla,51.9,123,1988,250,0.24,34815,166,14
Kia,123.2,358,2685,350,0.25,77045,470,23
Chevrolet,75.1,704,2446,350,0.26,77763,228,16
BMW,97.5,292,2494,350,0.32,62039,413,16
Hyundai,42.1,372,2131,250,0.34,59549,126,11
Mercedes-Benz,97.9,335,2440,100,0.22,62379,444,53
Chevrolet,83.4,192,2431,50,0.3,47436,273,91
Hyundai,42.3,463,2196,50,0.21,52916,198,48
Porsche,60.6,612,2273,250,0.23,70006,216,19
Volkswagen,61.9,478,2364,250,0.26,63523,237,23
Hyundai,119.0,324,2511,250,0.25,71631,369,29
Tesla,97.7,493,2404,250,0.28,60353,381,25
Kia,105.6,398,2398,100,0.34,67868,443,62
Tesla,38.8,494,2055,350,0.28,48454,193,11
Mercedes-Benz,49.5,137,1910,250,0.24,35834,265,15
Mercedes-Benz,74.4,507,2095,50,0.31,64280,297,80
Volkswagen,69.5,125,2262,50,0.31,34660,372,75
Kia,43.1,613,2178,250,0.27,65356,185,15
Kia,88.9,343,2348,150,0.23,75618,394,31
Ford,102.6,681,2441,250,0.32,72646,320,25
Audi,36.2,674,2222,150,0.2,71337,200,17
Hyundai,65.9,622,2248,50,0.32,70182,269,71
Chevrolet,91.4,157,2324,50,0.31,55053,404,104
Mercedes-Benz,124.8,147,2574,100,0.21,56413,605,70
Ford,101.0,533,2582,250,0.33,68361,291,25
Kia,62.1,409,2264,350,0.21,54361,246,11
Volkswagen,80.3,392,2396,100,0.32,69663,416,42
Nissan,60.3,288,2025,150,0.32,47986,268,22
Ford,102.2,276,2414,50,0.25,60015,443,111
Ford,76.7,321,2292,100,0.25,60644,305,45
Audi,126.4,158,2576,100,0.21,62697,601,71
Volkswagen,55.4,669,2219,150,0.34,70546,187,26
BMW,129.9,168,2594,250,0.33,62534,422,34
Porsche,35.2,598,2204,100,0.23,60574,152,27
Mercedes-Benz,105.4,123,2441,50,0.22,45386,549,117
Hyundai,98.2,404,2406,150,0.26,57213,403,39
Kia,100.9,716,2551,150,0.27,81055,416,39
Polestar,117.8,127,2647,250,0.24,56068,450,28
Rivian,107.0,624,2777,100,0.23,73483,323,63
Volkswagen,64.8,341,2205,150,0.2,53893,314,27
Kia,45.2,684,2352,350,0.23,76547,176,10
Rivian,88.2,743,2595,250,0.28,77914,264,21
Rivian,114.7,304,2537,150,0.22,58064,546,48
Polestar,111.0,715,2869,50,0.33,78774,331,121
Kia,71.6,296,2429,100,0.24,52332,385,41
Kia,106.1,455,2559,150,0.22,66823,369,41
Kia,40.9,513,2142,250,0.35,52014,142,17
Volkswagen,51.4,108,1882,50,0.34,37472,267,58
Audi,107.3,301,2557,50,0.27,63257,475,119
Nissan,65.7,702,2439,100,0.25,72470,248,40
Porsche,70.3,681,2315,350,0.22,65093,272,12
Hyundai,33.3,137,1664,50,0.32,45403,156,35
Ford,120.2,670,2672,250,0.22,81592,416,30
Mercedes-Benz,52.5,380,2159,350,0.28,58396,265,13
Volkswagen,114.6,360,2567,250,0.32,61956,460,27
Chevrolet,89.4,121,2137,100,0.34,51113,395,51
Mercedes-Benz,102.7,603,2663,100,0.32,79020,326,57
Hyundai,106.6,100,2471,350,0.31,51179,311,18
Chevrolet,35.2,224,1871,250,0.23,48908,208,11
Ford,119.6,631,2686,50,0.26,77477,446,126
Rivian,100.9,208,2434,50,0.24,54848,458,110
Porsche,43.0,464,2147,150,0.26,60880,232,21
Volkswagen,42.5,652,2158,50,0.24,59988,193,46
Nissan,45.7,177,2027,350,0.34,45260,185,10
Nissan,68.4,116,2051,250,0.22,59096,367,19
Kia,84.6,728,2541,150,0.27,81220,325,33
BMW,59.0,666,2406,150,0.28,70609,234,25
Nissan,97.4,133,2168,150,0.23,56175,486,38
Hyundai,36.8,609,2080,100,0.26,60068,168,23
Nissan,128.2,610,2774,150,0.32,83164,493,48
Ford,127.1,173,2599,50,0.31,50763,474,135
Polestar,90.5,435,2515,100,0.3,64266,426,49
Nissan,89.9,505,2399,100,0.24,75919,414,53
Porsche,82.6,262,2278,350,0.34,56573,298,17
Ford,67.4,132,1972,50,0.2,44769,295,76
Nissan,102.6,501,2488,50,0.27,72321,450,114
Nissan,73.4,570,2401,100,0.35,73361,269,45
Mercedes-Benz,39.1,229,1963,50,0.23,43934,188,44
Chevrolet,51.5,488,2084,100,0.26,47663,252,31
Mercedes-Benz,108.7,358,2380,150,0.28,65409,460,41
Porsche,63.4,662,2414,50,0.33,67026,294,75
Polestar,93.8,641,2896,150,0.34,72358,309,33
Kia,32.8,236,1880,50,0.31,40898,163,37
Mercedes-Benz,37.0,220,1985,350,0.32,52748,190,10
Porsche,65.7,329,1991,250,0.33,57622,278,19
Rivian,67.4,276,2103,350,0.26,54117,275,20
Rivian,118.4,324,2577,150,0.26,72268,339,44
Volkswagen,73.0,581,2384,250,0.28,64751,344,20
Nissan,41.8,237,1924,150,0.24,41717,191,17
BMW,87.2,741,2717,50,0.28,79492,332,98
Chevrolet,84.7,474,2284,350,0.28,61692,362,16
Audi,99.2,234,2496,100,0.28,69643,390,56
Hyundai,52.2,564,2088,50,0.31,63143,267,61
Porsche,78.5,316,2262,150,0.32,56315,374,27
Porsche,110.4,686,2706,100,0.21,81601,467,62
BMW,84.6,738,2624,250,0.35,75643,225,23
Audi,36.9,340,1846,150,0.26,52635,170,16
Ford,96.2,414,2503,50,0.29,54112,483,101
Rivian,105.9,109,2432,150,0.29,51040,405,42
Mercedes-Benz,45.9,267,1874,100,0.33,47068,279,31
Mercedes-Benz,101.3,351,2364,150,0.23,66088,511,40
Polestar,48.8,150,1874,100,0.27,50413,268,31
Chevrolet,123.9,513,2989,50,0.28,68998,457,136
Volkswagen,56.5,530,2272,250,0.32,61853,241,16
Kia,33.4,671,1953,150,0.32,72332,170,15
Polestar,81.4,578,2629,100,0.33,73963,280,43
Rivian,30.6,402,2007,350,0.25,56786,157,10
Volkswagen,113.7,502,2861,350,0.26,79570,484,21
Ford,100.7,352,2561,250,0.29,55204,400,28
Polestar,76.9,387,2422,100,0.31,69500,300,45
Volkswagen,116.4,171,2466,150,0.23,63537,624,47
Rivian,85.5,586,2441,250,0.21,70504,420,26
Audi,110.3,724,2617,150,0.3,84354,498,41
Polestar,89.3,330,2298,250,0.33,61503,360,24
Audi,49.7,579,2152,50,0.35,63289,211,59
Nissan,64.8,383,2373,100,0.34,56226,218,37
Kia,124.2,148,2412,350,0.28,60167,487,20
Audi,43.0,266,2113,250,0.23,51305,173,14
Audi,38.3,414,1975,150,0.28,66825,174,18
Audi,92.4,277,2293,100,0.32,66024,376,51
Ford,96.7,605,2543,100,0.25,72093,468,52
Ford,77.1,526,2564,250,0.25,64089,341,23
Porsche,81.4,687,2298,350,0.34,89053,317,16
Kia,53.0,459,2301,250,0.22,62785,212,18
Mercedes-Benz,87.7,463,2413,50,0.32,73831,347,98
Hyundai,47.5,537,2080,100,0.28,68096,221,30
Tesla,92.7,587,2701,250,0.27,72753,329,25
Mercedes-Benz,124.5,496,2818,100,0.31,73833,542,70
Ford,47.1,119,1997,350,0.21,50499,214,11
BMW,80.1,132,2212,250,0.34,45478,295,22
Mercedes-Benz,41.2,495,1872,150,0.23,54915,222,21
Polestar,95.2,237,2492,100,0.25,54656,407,57
Chevrolet,64.5,119,2028,150,0.24,49240,305,30
Audi,61.8,651,2230,150,0.25,59606,337,25
BMW,129.0,302,2740,150,0.22,66039,584,50
Audi,67.3,703,2422,350,0.27,83988,221,15
Rivian,94.8,277,2359,150,0.34,52222,410,39
Rivian,101.7,656,2768,250,0.25,75628,352,27
Rivian,90.4,661,2504,250,0.22,66876,433,22
Rivian,43.7,577,2253,100,0.28,66850,225,28
Ford,40.6,667,2283,150,0.26,64937,194,18
Hyundai,39.9,149,1820,350,0.23,44865,198,10
Polestar,83.2,167,2400,100,0.32,42361,372,47
Porsche,33.2,608,2012,250,0.2,62189,136,11
Porsche,87.8,333,2388,350,0.31,56054,341,18
Mercedes-Benz,38.5,403,2132,350,0.29,48500,180,11
BMW,41.9,706,2122,50,0.26,64567,207,45
Polestar,95.6,731,2802,350,0.23,85829,411,15
Nissan,85.1,362,2496,250,0.32,58676,286,21
Nissan,71.3,539,2284,250,0.28,75465,308,17
Chevrolet,53.1,426,2153,150,0.24,53724,263,22
Volkswagen,93.5,509,2648,100,0.21,73889,368,56
Volkswagen,113.3,451,2618,100,0.24,70312,482,59
Audi,84.7,278,2302,150,0.28,50512,380,35
Tesla,102.8,324,2603,150,0.34,60078,442,40
Volkswagen,76.0,380,2201,100,0.29,47959,296,41
BMW,43.1,467,2204,50,0.32,54137,217,52
Porsche,96.2,491,2466,150,0.32,64265,347,38
Ford,122.6,372,2569,150,0.21,66062,439,47
Kia,108.2,303,2599,250,0.26,66547,387,27
Audi,120.4,343,2532,250,0.26,62669,534,28
Hyundai,38.8,158,1745,100,0.3,40053,206,26
Nissan,46.1,471,2281,350,0.31,51042,185,10
Kia,42.6,211,1977,150,0.3,46686,226,16
Nissan,61.2,179,2046,150,0.26,51054,290,27
Nissan,40.6,129,1936,100,0.21,45774,249,21
Hyundai,116.6,288,2506,350,0.32,68249,324,25
Volkswagen,123.4,547,2782,250,0.29,72699,518,30
Tesla,95.2,607,2241,100,0.29,73032,376,52
Polestar,114.7,310,2662,100,0.31,63301,516,64
Rivian,53.3,506,2142,50,0.3,59588,233,59
Ford,34.5,577,2035,100,0.26,60439,142,23
Ford,72.6,456,2431,150,0.3,68728,299,30
Nissan,86.4,425,2236,100,0.26,64674,438,48
Mercedes-Benz,120.0,614,2581,50,0.33,75653,558,132
Polestar,122.4,311,2618,250,0.25,60638,451,33
BMW,122.4,399,2640,250,0.3,73035,446,31
Polestar,30.0,562,1891,350,0.34,59595,130,14
Kia,96.6,742,2559,150,0.24,82793,386,37
Mercedes-Benz,38.8,142,1872,100,0.27,41216,202,20
Chevrolet,66.5,580,2427,350,0.29,69108,326,15
Kia,129.5,160,2683,50,0.24,57092,635,137
Nissan,85.1,440,2442,150,0.27,59499,440,34
Volkswagen,53.4,514,2381,250,0.25,63105,245,16
Kia,119.4,148,2657,350,0.35,55428,500,22
Hyundai,32.1,305,1806,250,0.26,50064,172,14
Volkswagen,109.0,306,2511,150,0.35,51456,372,43
Chevrolet,95.8,748,2433,350,0.33,77505,347,18
Rivian,36.1,628,2324,100,0.31,59789,138,21
Mercedes-Benz,41.1,664,2076,250,0.22,66823,175,14
Ford,117.2,475,2606,350,0.24,80657,479,23
Porsche,69.6,292,2195,150,0.26,51876,318,33
Porsche,112.8,152,2280,150,0.32,52103,461,42
Mercedes-Benz,42.4,668,2216,350,0.2,71084,157,13
BMW,111.4,282,2496,350,0.27,58432,415,21
Polestar,75.9,588,2374,150,0.29,75925,282,29
Kia,76.6,389,2328,350,0.26,62296,345,13
Volkswagen,77.8,113,2222,350,0.31,43247,322,16
Mercedes-Benz,31.2,192,1869,100,0.23,28347,144,21
Chevrolet,118.4,275,2573,150,0.21,67497,437,44
BMW,55.8,173,2050,100,0.23,48914,335,33
Porsche,123.7,739,2923,50,0.22,91540,540,133
Porsche,35.5,315,1821,50,0.26,53521,182,40
Mercedes-Benz,53.7,163,2060,100,0.29,42272,221,31
Porsche,94.7,648,2726,350,0.3,83562,463,20
Audi,109.9,317,2482,150,0.26,64360,540,43
Audi,84.9,361,2438,250,0.35,58611,328,19
BMW,103.0,471,2455,50,0.23,56014,463,110
Mercedes-Benz,89.4,474,2400,50,0.3,70160,323,96
Volkswagen,108.0,466,2684,350,0.26,69044,376,18
Nissan,56.1,372,2028,50,0.3,53954,220,64
Mercedes-Benz,103.5,115,2449,350,0.27,40500,444,18
Mercedes-Benz,55.4,517,2321,50,0.2,66450,281,63
Chevrolet,110.8,497,2531,100,0.23,67933,418,61
Mercedes-Benz,89.4,483,2350,50,0.21,59214,346,96
Porsche,90.5,351,2358,100,0.34,70166,390,53
Ford,111.6,112,2524,350,0.31,55174,468,20
Chevrolet,120.3,116,2481,350,0.24,50826,449,24
Volkswagen,92.0,622,2377,350,0.34,79772,396,19
Ford,62.9,135,2263,150,0.25,40158,277,25
Polestar,30.7,440,2042,50,0.26,54990,153,36
Kia,94.2,116,2327,150,0.24,47753,441,35
Mercedes-Benz,117.1,610,2813,250,0.22,85068,500,26
Tesla,96.9,250,2320,250,0.32,62895,342,25
Audi,117.1,288,2658,150,0.32,59539,442,45
Chevrolet,117.3,209,2550,150,0.23,52794,503,47
Hyundai,81.1,492,2564,150,0.32,64414,315,36
Mercedes-Benz,66.3,671,2308,100,0.25,76358,297,38
Volkswagen,57.1,261,2049,350,0.24,49667,276,13
BMW,82.8,211,2253,350,0.26,39013,313,15
Porsche,89.5,369,2260,350,0.26,57936,429,17
Volkswagen,105.2,433,2647,50,0.27,60644,329,116
Porsche,85.4,433,2358,100,0.23,62822,399,47
Nissan,54.2,147,2093,100,0.22,39728,306,32
Volkswagen,111.5,670,2530,100,0.33,80744,441,63
Audi,57.9,608,2243,100,0.21,70303,284,37
Nissan,112.8,100,2397,50,0.34,46118,430,122
Porsche,59.1,371,2250,250,0.32,53089,240,20
Ford,59.8,293,2221,50,0.33,45626,260,65
Ford,120.9,223,2596,350,0.23,59415,618,22
Kia,31.3,432,1856,50,0.33,65307,135,37
Ford,67.7,355,2097,150,0.31,58679,296,25
Porsche,94.6,201,2459,350,0.26,49848,381,17
Polestar,65.2,128,2045,50,0.31,56340,268,73
Mercedes-Benz,64.3,507,2284,350,0.22,57670,318,11
Kia,65.6,196,2246,250,0.22,52814,308,16
Audi,88.7,441,2292,150,0.31,62196,342,31
Ford,118.4,322,2497,100,0.31,65854,525,66
Audi,84.4,250,2159,50,0.2,53312,363,93
Hyundai,87.0,478,2338,100,0.33,63948,407,54
Hyundai,89.9,230,2291,50,0.22,63278,411,102
BMW,35.0,267,1760,150,0.21,48993,207,16
Hyundai,49.0,696,2100,150,0.29,60059,243,20
Volkswagen,113.3,740,2822,250,0.32,84037,474,30
Rivian,88.3,401,2349,250,0.23,58056,434,21
Rivian,32.7,347,1942,100,0.34,49188,113,17
Mercedes-Benz,91.8,542,2600,250,0.22,76534,411,24
Nissan,115.7,710,2971,250,0.26,80436,433,28
Nissan,41.9,313,2357,150,0.29,56014,145,23
Nissan,117.0,157,2568,150,0.24,54565,528,46
Chevrolet,49.6,237,2040,350,0.31,47973,243,12
Volkswagen,125.3,567,2790,100,0.21,79965,560,70
BMW,35.7,213,1703,100,0.26,43747,185,23
Tesla,102.1,219,2410,50,0.29,57584,364,109
Rivian,111.3,267,2315,250,0.21,58253,611,24
Hyundai,43.7,145,1897,50,0.25,49206,199,49
Audi,62.5,537,2304,350,0.28,61200,234,10
Audi,105.0,396,2609,100,0.21,65404,412,60
Hyundai,55.1,165,1965,350,0.21,48187,313,10
Audi,91.7,675,2520,50,0.34,81401,305,102
Hyundai,59.0,230,1945,150,0.24,44855,298,24
Porsche,84.7,206,2262,150,0.33,51718,338,39
Kia,99.5,106,2388,100,0.33,53354,379,58
Hyundai,83.7,224,2184,100,0.33,44879,418,47
Nissan,105.6,408,2470,150,0.3,65557,335,43
Mercedes-Benz,43.0,232,1919,350,0.25,51944,201,11
Chevrolet,43.4,708,2350,350,0.27,64615,215,10
Hyundai,63.2,555,2342,350,0.26,64727,245,12
Volkswagen,67.7,621,2314,150,0.3,72446,308,32
Ford,105.6,355,2413,250,0.23,57512,578,26
Rivian,41.8,720,2184,150,0.29,67359,196,18
Nissan,80.5,104,2303,150,0.28,49077,395,35
Mercedes-Benz,116.4,396,2413,250,0.27,67185,555,27
Hyundai,71.7,670,2461,350,0.21,73196,296,16
Hyundai,115.8,298,2320,100,0.23,60849,632,67
Volkswagen,128.8,415,2919,250,0.31,72065,416,32
Hyundai,37.9,130,1905,100,0.22,38764,223,23
Nissan,86.2,172,2398,150,0.28,56326,411,34
Audi,123.1,132,2394,50,0.34,51371,479,132
Tesla,129.9,135,2527,150,0.31,57320,510,49
Volkswagen,69.3,268,2297,50,0.34,44047,266,76
Nissan,104.9,238,2502,350,0.21,55220,442,19
Chevrolet,91.1,341,2372,150,0.23,58533,319,38
Audi,63.6,434,2165,250,0.24,60241,330,14
